Subject,Start Date,Start Time,End Date,End Time,Location
"McRae Integration Ltd.",01/18/2016,5:00 PM,01/18/2016,7:00 PM,"DC 1301"
"Noom, Inc.",01/18/2016,7:30 PM,01/18/2016,9:30 PM,"DC 1301"
"D2L",01/19/2016,11:30 AM,01/19/2016,1:30 PM,"TC 2218"
"TATA Consutancy Services",01/19/2016,2:30 PM,01/19/2016,4:30 PM,"TC 2218"
"Loblaw Digital",01/19/2016,5:00 PM,01/19/2016,7:00 PM,"DC 1301"
"A Thinking Ape Entertainment",01/19/2016,7:30 PM,01/19/2016,9:30 PM,"Bombshelter Pub"
"TJX Canada",01/20/2016,11:30 AM,01/20/2016,1:30 PM,"TC 2218"
"Loblaw Analytics",01/20/2016,2:30 PM,01/20/2016,4:30 PM,"TC 2218"
"WeMesh",01/20/2016,5:00 PM,01/20/2016,7:00 PM,"TC 2218"
"Stephenson Engineering Ltd.",01/20/2016,5:00 PM,01/20/2016,7:00 PM,"DC 1302"
"BlackBerry",01/20/2016,7:30 PM,01/20/2016,9:30 PM,"Fed Hall - Main Hall"
"RBC Capital Markets Technology",01/21/2016,11:30 AM,01/21/2016,1:30 PM,"Davis Centre 1301"
"TribalScale",01/21/2016,2:30 PM,01/21/2016,4:30 PM,"DC 1301"
"Facebook",01/21/2016,5:00 PM,01/21/2016,7:00 PM,"Fed Hall - Main Hall"
"eSentire",01/21/2016,7:30 PM,01/21/2016,9:30 PM,"DC 1301"
"Closed Info Session",01/22/2016,11:30 AM,01/22/2016,1:30 PM
"Closed Info Session",01/25/2016,11:30 AM,01/25/2016,1:30 PM
"Street Contxt",01/25/2016,2:30 PM,01/25/2016,4:30 PM,"DC 1301"
"PDT Partners",01/25/2016,5:00 PM,01/25/2016,7:00 PM,"TC 2218"
"Microsoft Canada Inc.",01/25/2016,5:00 PM,01/25/2016,7:00 PM,"DC 1301"
"Newton North America",01/25/2016,5:00 PM,01/25/2016,7:00 PM,"DC 1302"
"Riot Games",01/25/2016,7:30 PM,01/25/2016,9:30 PM,"Fed Hall - Main Hall"
"Spin Master Ltd.",01/26/2016,11:30 AM,01/26/2016,1:30 PM,"Fed Hall - Columbia Room A"
"Vena Solutions",01/26/2016,11:30 AM,01/26/2016,1:30 PM,"DC 1301"
"Yahoo",01/26/2016,2:30 PM,01/26/2016,4:30 PM,"DC 1301"
"Yelp",01/26/2016,5:00 PM,01/26/2016,7:00 PM,"DC 1301"
"Lyft",01/26/2016,7:30 PM,01/26/2016,9:30 PM,"DC 1301"
"NexJ Systems Inc.",01/27/2016,11:30 AM,01/27/2016,1:30 PM,"DC 1302"
"Citi Canada Technology Services",01/27/2016,2:30 PM,01/27/2016,4:30 PM,"Davis Centre 1301"
"IBM",01/27/2016,5:00 PM,01/27/2016,7:00 PM,"DC 1301"
"LinkedIn",01/27/2016,7:30 PM,01/27/2016,9:30 PM,"TC 2218"
"PointClickCare",01/28/2016,11:30 AM,01/28/2016,1:30 PM,"DC 1301"
"CSE (Communications Security Establishment)",01/28/2016,2:00 PM,01/28/2016,4:00 PM,"TC 2218"
"TD Innovation Lab",01/28/2016,5:00 PM,01/28/2016,7:00 PM,"DC 1301"
"A9",01/28/2016,7:30 PM,01/28/2016,9:30 PM,"TC 2218"
"Brock Solutions",01/29/2016,11:30 AM,01/29/2016,1:30 PM,"DC 1302"
"Wish",01/29/2016,2:30 PM,01/29/2016,4:30 PM,"Tatham Centre 2218"
